"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"197","Shelton Gibson","PHI","10","119","248","173.2","44.4","",""
"198","Quinton Patton","NYJ","11","152","196","174.0","22.0","",""
"199","Rodney Adams","MIN","9","159","197","175.3","16.0","",""
"200","Robert Davis","WAS","5","89","267","175.5","64.3","",""
"201","Noah Brown","DAL","6","153","196","176.3","15.9","",""
"202","Dwayne Harris","NYG","8","120","342","177.0","61.0","",""
"203","Dezmin Lewis","BUF","6","169","194","179.0","10.8","",""
"204","Keshawn Martin","DET","7","139","243","179.3","39.0","",""
"205","Josh Malone","CIN","6","158","229","179.8","28.7","",""
"206","DeAngelo Yancey","GB","8","128","294","180.4","59.9","",""
"207","Bryce Treggs","PHI","10","176","193","184.5","8.5","",""
"208","Alex Erickson","CIN","6","178","203","187.0","11.3","",""
"209","Quan Bray","IND","11","179","201","190.0","11.0","",""
"210","Jakeem Grant","MIA","11","128","299","191.8","64.5","",""
"211","Daniel Braverman","CHI","9","186","199","193.0","5.4","",""
"212","Isaiah McKenzie","DEN","5","156","242","196.3","35.3","",""
"213","Krishawn Hogan","ARI","8","196","213","204.5","8.5","",""
"214","Mario Alford","CLE","9","158","361","209.0","76.7","",""
"215","Jeremy Butler","BUF","6","168","289","209.7","56.1","",""
"216","Malachi Dupre","GB","8","129","357","209.8","87.9","",""
"217","Rannell Hall","CLE","9","190","250","220.0","30.0","",""
"218","Nelson Spruce","LAR","8","127","367","220.3","105.0","",""
"219","Devin Lucien","NE","9","182","262","222.0","40.0","",""
"220","Tre McBride","TEN","8","169","363","235.0","90.5","",""
"221","DeAndre Carter","SF","11","188","293","240.5","52.5","",""
"222","Rashawn Scott","MIA","11","170","324","247.0","77.0","",""
"223","Kenny Lawler","SEA","6","165","336","250.5","85.5","",""
"224","Vince Mayle","BAL","10","147","373","260.0","113.0","",""
"225","Bug Howard","IND","11","192","338","265.0","73.0","",""
"226","Donteea Dye","TB","11","184","359","271.5","87.5","",""
""
""
